interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,supply,stand_alone_batteries,hybrid_batteries
2025-04-01T09:40:00-07:00,2025-04-01 16:40:00+00:00,2025-04-01T09:45:00-07:00,2025-04-01 16:45:00+00:00,-3646,-2999,-619
2025-04-01T09:45:00-07:00,2025-04-01 16:45:00+00:00,2025-04-01T09:50:00-07:00,2025-04-01 16:50:00+00:00,-3828,-3165,-692
2025-04-01T09:50:00-07:00,2025-04-01 16:50:00+00:00,2025-04-01T09:55:00-07:00,2025-04-01 16:55:00+00:00,-3990,-3365,-670
2025-04-01T09:55:00-07:00,2025-04-01 16:55:00+00:00,2025-04-01T10:00:00-07:00,2025-04-01 17:00:00+00:00,-4453,-3671,-711
2025-04-01T10:00:00-07:00,2025-04-01 17:00:00+00:00,2025-04-01T10:05:00-07:00,2025-04-01 17:05:00+00:00,-4358,-3704,-732
2025-04-01T10:05:00-07:00,2025-04-01 17:05:00+00:00,2025-04-01T10:10:00-07:00,2025-04-01 17:10:00+00:00,-4571,-3883,-663
2025-04-01T10:10:00-07:00,2025-04-01 17:10:00+00:00,2025-04-01T10:15:00-07:00,2025-04-01 17:15:00+00:00,-5173,-4198,-654
2025-04-01T10:15:00-07:00,2025-04-01 17:15:00+00:00,2025-04-01T10:20:00-07:00,2025-04-01 17:20:00+00:00,-5618,502,-629
2025-04-01T10:20:00-07:00,2025-04-01 17:20:00+00:00,2025-04-01T10:25:00-07:00,2025-04-01 17:25:00+00:00,-5665,-5065,-614
2025-04-01T10:25:00-07:00,2025-04-01 17:25:00+00:00,2025-04-01T10:30:00-07:00,2025-04-01 17:30:00+00:00,-5792,-5184,-603
2025-04-01T10:30:00-07:00,2025-04-01 17:30:00+00:00,2025-04-01T10:35:00-07:00,2025-04-01 17:35:00+00:00,-5657,-5176,-542
2025-04-01T10:35:00-07:00,2025-04-01 17:35:00+00:00,2025-04-01T10:40:00-07:00,2025-04-01 17:40:00+00:00,-5603,-5124,-495
2025-04-01T10:40:00-07:00,2025-04-01 17:40:00+00:00,2025-04-01T10:45:00-07:00,2025-04-01 17:45:00+00:00,-5201,502,-519
2025-04-01T10:45:00-07:00,2025-04-01 17:45:00+00:00,2025-04-01T10:50:00-07:00,2025-04-01 17:50:00+00:00,-4546,-3995,-525
2025-04-01T10:50:00-07:00,2025-04-01 17:50:00+00:00,2025-04-01T10:55:00-07:00,2025-04-01 17:55:00+00:00,-4606,502,-499
2025-04-01T10:55:00-07:00,2025-04-01 17:55:00+00:00,2025-04-01T11:00:00-07:00,2025-04-01 18:00:00+00:00,-4835,502,-439
2025-04-01T11:00:00-07:00,2025-04-01 18:00:00+00:00,2025-04-01T11:05:00-07:00,2025-04-01 18:05:00+00:00,-5114,-4823,-358
2025-04-01T11:05:00-07:00,2025-04-01 18:05:00+00:00,2025-04-01T11:10:00-07:00,2025-04-01 18:10:00+00:00,-5599,-5277,-336
2025-04-01T11:10:00-07:00,2025-04-01 18:10:00+00:00,2025-04-01T11:15:00-07:00,2025-04-01 18:15:00+00:00,-5719,-5447,-356
2025-04-01T11:15:00-07:00,2025-04-01 18:15:00+00:00,2025-04-01T11:20:00-07:00,2025-04-01 18:20:00+00:00,-5814,-5460,-372
2025-04-01T11:20:00-07:00,2025-04-01 18:20:00+00:00,2025-04-01T11:25:00-07:00,2025-04-01 18:25:00+00:00,-5937,-5545,-356
2025-04-01T11:25:00-07:00,2025-04-01 18:25:00+00:00,2025-04-01T11:30:00-07:00,2025-04-01 18:30:00+00:00,-5285,-4835,-388
2025-04-01T11:30:00-07:00,2025-04-01 18:30:00+00:00,2025-04-01T11:35:00-07:00,2025-04-01 18:35:00+00:00,-4731,-4279,-412
2025-04-01T11:35:00-07:00,2025-04-01 18:35:00+00:00,2025-04-01T11:40:00-07:00,2025-04-01 18:40:00+00:00,-4702,-4291,-429
2025-04-01T11:40:00-07:00,2025-04-01 18:40:00+00:00,2025-04-01T11:45:00-07:00,2025-04-01 18:45:00+00:00,-5172,-4735,-466
2025-04-01T11:45:00-07:00,2025-04-01 18:45:00+00:00,2025-04-01T11:50:00-07:00,2025-04-01 18:50:00+00:00,-5028,-4553,-448
2025-04-01T11:50:00-07:00,2025-04-01 18:50:00+00:00,2025-04-01T11:55:00-07:00,2025-04-01 18:55:00+00:00,-4784,-4346,-438
2025-04-01T11:55:00-07:00,2025-04-01 18:55:00+00:00,2025-04-01T12:00:00-07:00,2025-04-01 19:00:00+00:00,-5069,-4644,-460
2025-04-01T12:00:00-07:00,2025-04-01 19:00:00+00:00,2025-04-01T12:05:00-07:00,2025-04-01 19:05:00+00:00,-5299,-4778,-535
2025-04-01T12:05:00-07:00,2025-04-01 19:05:00+00:00,2025-04-01T12:10:00-07:00,2025-04-01 19:10:00+00:00,-5201,-4704,-446
2025-04-01T12:10:00-07:00,2025-04-01 19:10:00+00:00,2025-04-01T12:15:00-07:00,2025-04-01 19:15:00+00:00,-4373,-3827,-476
2025-04-01T12:15:00-07:00,2025-04-01 19:15:00+00:00,2025-04-01T12:20:00-07:00,2025-04-01 19:20:00+00:00,-4012,-3546,-481
2025-04-01T12:20:00-07:00,2025-04-01 19:20:00+00:00,2025-04-01T12:25:00-07:00,2025-04-01 19:25:00+00:00,-4186,-3747,-461
2025-04-01T12:25:00-07:00,2025-04-01 19:25:00+00:00,2025-04-01T12:30:00-07:00,2025-04-01 19:30:00+00:00,-4224,-3793,-443
2025-04-01T12:30:00-07:00,2025-04-01 19:30:00+00:00,2025-04-01T12:35:00-07:00,2025-04-01 19:35:00+00:00,-4319,-3916,-430
2025-04-01T12:35:00-07:00,2025-04-01 19:35:00+00:00,2025-04-01T12:40:00-07:00,2025-04-01 19:40:00+00:00,-4635,-4195,-477
2025-04-01T12:40:00-07:00,2025-04-01 19:40:00+00:00,2025-04-01T12:45:00-07:00,2025-04-01 19:45:00+00:00,-5055,-4520,-535
2025-04-01T12:45:00-07:00,2025-04-01 19:45:00+00:00,2025-04-01T12:50:00-07:00,2025-04-01 19:50:00+00:00,-5147,-4511,-662
2025-04-01T12:50:00-07:00,2025-04-01 19:50:00+00:00,2025-04-01T12:55:00-07:00,2025-04-01 19:55:00+00:00,-5208,-4551,-645
2025-04-01T12:55:00-07:00,2025-04-01 19:55:00+00:00,2025-04-01T13:00:00-07:00,2025-04-01 20:00:00+00:00,-4979,-4395,-551
